,index,번호,제목,평점,감상평
0,0,18140051,브로커,1,도망갈까...? 생각이 든 순간이 최적의 타이밍. 더 고민하지 말고 빨리 런하세오
1,1,18140050,쥬라기 월드: 도미니언,10,4d로 보면 재밌어요. 매뚜기가 주연인데 뭐… 재미있었어요!
2,2,18140049,범죄도시2,10,무서웠다가 웃겼다가 통쾌했다가 롤러코스터 탄 느낌이었어요.카리스마 눈빛연기하며 감칠맛나는 대사하며 액션연기에 스토리연출까지 다 재밌게 잘 봤습니다.한번 더 봐야겠네요.
3,3,18140048,브로커,10,이지은 연기 대박...
4,4,18140046,브로커,1,지루하다는 듄도 재밌게 잘 봤는데 브로커는 정말 중간에 나가고 싶었어요 칸 명성에 기대했는데 재미도 없고 감동도 없고 정말 실망했어요
5,5,18140044,브로커,10,잔잔하게 감동주는 영화배우들의 연기도 좋았고 내용도 좋습니다ㅎㅎ
6,6,18140041,비와 당신의 이야기,8,강하늘은 이런 역할 진짜 잘어울림. 천우희씨♡ 팬입니다.
7,0,18140051,브로커,1,도망갈까...? 생각이 든 순간이 최적의 타이밍. 더 고민하지 말고 빨리 런하세오
8,1,18140050,쥬라기 월드: 도미니언,10,4d로 보면 재밌어요. 매뚜기가 주연인데 뭐… 재미있었어요!
9,2,18140049,범죄도시2,10,무서웠다가 웃겼다가 통쾌했다가 롤러코스터 탄 느낌이었어요.카리스마 눈빛연기하며 감칠맛나는 대사하며 액션연기에 스토리연출까지 다 재밌게 잘 봤습니다.한번 더 봐야겠네요.
10,3,18140048,브로커,10,이지은 연기 대박...
11,4,18140046,브로커,1,지루하다는 듄도 재밌게 잘 봤는데 브로커는 정말 중간에 나가고 싶었어요 칸 명성에 기대했는데 재미도 없고 감동도 없고 정말 실망했어요
12,5,18140044,브로커,10,잔잔하게 감동주는 영화배우들의 연기도 좋았고 내용도 좋습니다ㅎㅎ
13,6,18140041,비와 당신의 이야기,8,강하늘은 이런 역할 진짜 잘어울림. 천우희씨♡ 팬입니다.
14,0,18140040,언힌지드,10,한국원숭이들아이게영화라는거다ㅎ요즘상좀받았다고꼴깝떠는원숭이들아알겄니?ㅎ
15,1,18140039,쥬라기 월드: 도미니언,6,긴말 않고 옛정 생각해서 6.5점 드리겠습니다.
16,2,18140038,뉴 뮤턴트,4,수어수콰이드? 인가 그거보면내가 이 구역 x친년이다.라는 느낌의 할리퀸 말고는 볼거 없죠?이 영화도 내가 여기 x친년이다.라는 안야 테일러(매직) 말고 볼 거 없음...혼자 연출과 액션과 능력과 매력 가져가고나머지가 다 별로ㅡㅡ... 그나마 샘이조금은 괜찮은데..정작 주연2 여주인공들이 진짜 1도 매력없고최악.
17,3,18140037,인터셉터,1,"허무맹랑하고, 개연성 1도 없음.그냥 슈퍼우먼 납시셨음."
18,4,18140036,범죄도시2,10,연기너무짱입니다장이수가너무재미있서요
19,5,18140034,별을 쫓는 아이,10,인물과 세계가 확장되는 스토리가 너무 좋아요..지브리의 느낌과 여운 같은 것도 느낄 수도 있었고 신카이 마코토 특유의 인물 설정도 마음 아팠고 ㅜㅠ 전하려는 메세지도 느껴졌는데 이게 매순간의 감동과 가슴 철렁임으로 다가왔어요 영상미는 정말 숨막히고요!!다들 떡밥 회수도 꼭 하시고요^.^ 소설이 있다고 합니다
20,6,18140033,연애 빠진 로맨스,10,구씨보려고 본건데 영화 맛갈나게 재밌었다. 전종서님도 연기 참 좋네요..
21,7,18140032,쥬라기 월드: 도미니언,8,쥬라기 시리즈의 마지막이라는 의미만으로 볼 가치는 있는 영화.하지만 눈앞에서 움직이는 모든 것을 잡아죽이려고 하는 공룡들의 분노조절장애는 시급한 치료가 필요해보인다...
22,8,18140031,범죄도시2,10,시원시원하고 생각없이 웃으며 볼 수 있는 영화 굿
23,9,18140030,브로커,1,어머님 모시고 갔다가 같이 졸았네요;;대사도 다들 웅얼웅얼이여서 잘.. 대화도 기억안나고.. 잔잔합니다..
24,0,18140029,브로커,2,영화보다가 처음으로 졸았어요 ㅋㅋㅋ
25,1,18140028,범죄도시2,9,스릴 넘치고 재밌게 봤어요! 마동석이 최강캐! 때릴때 소리가 너무 실감나서 무섭기도 했습니다.
26,2,18140027,브로커,7,"새로운 가족형태가 속속 이뤄지는 시대에 이런 사람들이모여 만드는 가족도 뭐 괜찮다는 생각이 든다. 다소 억지스럽고끼워 맞춘듯 하지만, 또 버무림을 잘해서 제법 괜찮은 영화를만들어 내었다."
27,3,18140026,브로커,1,정말 재미없어요 보는내내 언제끝날까이 생각만 했어요 배우들도 너무 유명해서 몰입도 안돼요..
28,4,18140025,브로커,6,솔지키 난 좀 재밋게봣는데… 눈물도 좀 흘렷는데.. 좀 엉성하고.. 평 보니까 갑자기 개연성이 없던것같음 강동원 존잘ㅋㅋ 마무리 이상함..
29,5,18140024,범죄도시2,10,개봉 첫날 조조로 본 영화!잔잔한 흐름과 또 나름의 생각도 할 수 있게 만드는 영화!나쁘지 않은 선택이었다!
30,6,18140023,브로커,10,재미있어요! 감동적임
31,7,18140021,브로커,10,영화가 사람 울리네요. 오랫동안 마음에 남을 것 같습니다.
32,8,18140020,더 리더: 책 읽어주는 남자,10,전혀 촌스럽지않고 신선한 소재에 나이에대한 선입견만없다면 좋은ost
33,0,18140019,브로커,8,감독의 가치관이 잘반영되어있다. 어느가족보다는 좀 약한듯. 극장에서 볼만한건 아닌거 같고 vod나옴 보세요
34,1,18140018,내츄럴 시티,7,요즘 SF영화 수준은 안되지만 서린출연작이라 본건데 로드무비하고는 분위가 많이 다르네요.돈 좀들어 간것 같은데 큰 재미는 없음.
35,2,18140017,범죄도시2,8,시원시원하다 마동석식액션 시원하다 구씨매력 흘러넘친다 ㅋ
36,3,18140016,쥬라기 월드: 도미니언,10,쥬라기월드 너무 재밌었다
37,4,18140015,브로커,10,모든 개그코드가 전혀 작위적이지않고 자연스러워서 저항도 못하고 많이 웃었어요. 영화ost가 극을 끌고가는 분위기가 너무 좋았고 여운이 굉장히 짙었어요. 특유의 감성이 영화관에서 느끼기 넘 좋고 요즘의 계절과도 잘 맞아서 보고나서 정말 기분 좋았습니다.
38,5,18140014,연애 빠진 로맨스,9,"누군가 뻔하다 말할 수 있는 스토리이지만, 사랑 앞에서는 원래 모두가 뻔하잖아요? 연애하기 싫어도 외로움은 느끼고, 사랑하기 싫어도 연인이란 존재는 필요합니다. 저는 이런 점이 오히려 와닿아서 정말 재밌게 봤습니다"
39,6,18140013,브로커,10,잔잔하게 스며드는 영화. 그러면서도 긴장감을 주는 포인트들이 있어서 지루하지 않았다. 자극 쎈 한국형 양산영화들에 익숙한 일부 관객들은 지루해할듯. 수준 높은 영화에 수준낮은 관객들
40,7,18140012,피는 물보다 진하다,2,이완이란 발연기의 대가를 발견한 영화입니다.ㅋㅋㅋ 이런걸 제작하신 분은 돈이 남아 도나 보네요…
41,8,18140011,범죄도시2,10,범죄도시 1편도 너무 재밌게 봐서 2편도 나름 기대하고 봤는데 상상 이상으로 재밌다 ㅋㅋㅋ마동석은 두말할거 없이 액션 이번에도 미쳤고 더군다나 손석구 연기 진짜 개미쳤다... 이번에 상 무조건 타겠다
42,9,18140010,공기살인,1,아직도 해결되지 않은 사건인데 연출이 과장되고 억지 감동을 유도함. 사실적인 바탕으로 다큐로 보여줘야 했을 문제라고 봄.
43,0,18140009,브로커,1,"억지감동, 억지슬픔아이유의 연기는 나의아저씨 연장선"
44,1,18140008,피는 물보다 진하다,8,조동혁의 연기와 액션씬등은 볼만했으나 이완의 딕션이 좀 거슬린다.
45,2,18140007,범죄도시2,1,1편 범죄도시 2편 동남아여행 후기
46,3,18140006,브로커,1,재미없다 인기 배우들만 갈라놓고 재미없다
47,4,18140005,허슬,10,좋다..이런작품 많이나왔으면
48,5,18140004,브로커,2,감동을 주려 애쓴 영화 맞나요?배우들 연기를 어쩜 이렇게 어색하게 연출할수있을까요? 감독님...
49,6,18140001,쥬라기 월드: 도미니언,6,메뚜기만... 생각난다 계속 ㅜㅜ
50,7,18140000,닥터 스트레인지: 대혼돈의 멀티버스,8,갠적으로 재미있었는데 이거 공포인줄 모르고 가서 개깜놀함
51,0,18139999,브로커,10,재미로 보는 영화가 아님. 물론 군데군데 재밌는 요소들은 있지만.. 그런 것들로 표현하기엔 아까운 정말 좋은 영화였다.
52,1,18139998,브로커,2,"좀더 다듬어야 할 영화....딱 여기 까지가 일본감독 수준 역시 한국 감독들이 뛰어 나다는 것이 입증됨.한국인이 좋아 하지 않는 결말...내용은 알겠는데 떠뜻 미지근한 전개, 마무리, 결론 송강호 스스로가 남우주연상 받음 국내감독이 만들었다면 더 호소력 있고 감동(?)적이지 않았을까 하는게 개인적인 생각...이영화는 끝까지 뭔가 있지 않을까 하고 기대 했는데 어떤 결론도 없이 시시하게 끝남...집에서 보는게 좋을듯~"
53,2,18139997,메기,3,"요즘 여성 감독이 말하는 뻔한 서사, 이런 얘기밖에 없다"
54,3,18139996,범죄도시2,10,한번 보고 한번 더 보고싶은 영화케미 good
55,4,18139995,괴물,10,너무 재밌다 ㅋㅋ 입 벌리고 봄
56,5,18139993,범죄도시2,6,소견은.. 밤늦은 시간 영화관에서 보는데... 스토리가 ㅋㅋ 갑분싸;; 뭔가 오랜만에 프리하게 극장가게 된게 뽕 잘받은 영화인듯.. 역시 1을 뛰어넘는 후속작은 없다라는 말이 진리인듯
57,6,18139994,그대가 조국,10,"나는 영화를 보는 내내 보고 난 후계속 드는 생각이 문재인은 대체 멀 한거지? 조국을 왜 저렇게 두고, 윤석열은 또 왜 저렇게둔 거지..? 대통령으로 권한 혹은 인사권에 저렇게 대드는 상황을 그냥 둔다고. 대통령이 왜 있는거며 , 원칙? 원칙은 원칙이 필요할 때와 아닐때를 분간할 줄 알아야 되는데한가족을 구렁텅이에 밀어넣고 빼주지도 않은 저 대통령의 권위.. 영화에 대한 감상을 둘째치고한 개인의 가족 뿐만 아니라 나라의 운명도 이렇게 그냥 둔 문재인 대통령에 대한 실망감이 이루말할 수 없고, 오히려 분노까지 일어난다."
58,7,18139992,범죄도시2,10,오랜만에 너무 재밌었음!
59,8,18139991,시동,8,"거석형 자는 모습, 안본사람은 말을 마소"
60,9,18139990,브로커,10,일부러 평점 낮게 주는 사람들 많아보이는데영화 재밌어요소재가 신선함!
61,0,18139989,브로커,10,저는 재밌게 봤네요 연기력도 좋아서 시간 금방 갔어요 무엇보다 내용이 좋아서 생각할 거리가 많아요
62,1,18139988,범죄도시2,9,"잔잔하게 계속 웃기고 액션씬마다 너무 맛깔남, 보고나면 기분 좋아지는 영화"
63,2,18139987,브로커,6,상을 받은 영화라 좋게 생각하려고 하지만 확실히 재미는 없네요
64,3,18139986,브로커,2,...할많하않...
65,4,18139985,십개월의 미래,10,"지나칠정도로 사실적인 연출과 대사들에, 일상의 누군가로, 때로는 내 자신의 미래처럼 느껴지던 미래의 10개월처럼마지막 다짐처럼 앞으로의 발걸음은 다사다난해도 잘해쳐갈거라고 바라게 만든다."
66,5,18139984,브로커,1,ㅅㅍ 내가 댓글다는거 처음인데 미나리도 재미없었는데 이거는 더하네 ㅅㅍ 내가이상한가?
67,6,18139983,브로커,1,진짜 핵노잼 제발 보지마!!!!
68,7,18139980,극한직업,9,한국 코미디 영화 솔직히 별로 재미없어하는데 극한직업은 첨부터 끝까지 재미있었음. 억지로 웃길려고 과하지도 않고 재밌음 ㅋㅋ 강추
69,8,18139979,브로커,1,감독 배우 내용 모든게 거품인 영화.. 평점 높게 주는 평론가도 같이 손절 합니다..
